nbr_pol_id,var_pol_nombre,var_pol_cargo,var_pol_salario,var_pol_status
75,Jacob Brown,Policia,930,Activo
76,Joel Mitchell,Policia,930,Inactivo
77,April Jackson,Policia,930,Activo
78,Patrick Baldwin,Cabo,1120,Inactivo
79,Kathleen Christian,Cabo,1120,Inactivo
80,Michael Garrett,Cabo,1120,Inactivo
81,Luis Leonard,Cabo,1120,Activo
82,Manuel Rich,Cabo,1120,Activo
83,John Campbell,Cabo,1120,Inactivo
84,David Morris,Policia,930,Activo
85,Lisa Foley,Policia,930,Activo
86,Shaun Thompson,Policia,930,Activo
87,Diane Evans,Policia,930,Activo
88,Nicholas Horton,Policia,930,Activo
89,Timothy Barnett,Policia,930,Activo
90,Brianna Williams,Cabo,1120,Activo
91,Erin Elliott,Cabo,1120,Activo
92,Monica Maxwell,Sargento,1250,Activo
93,Benjamin Gillespie,Policia,930,Activo
94,Shane Gomez,Policia,930,Activo
95,Audrey Jimenez,Cabo,1120,Activo
96,Matthew Marsh,Sargento,1250,Inactivo
97,Patricia Williams,Policia,930,Activo
98,Teresa Macias,Policia,930,Activo
99,Amanda Price,Policia,930,Activo
100,Scott Friedman,Policia,930,Activo
101,Dawn Smith,Policia,930,Activo
102,Edward Bartlett,Policia,930,Activo
103,Madeline King,Cabo,1120,Inactivo
104,Jordan Sawyer,Policia,930,Inactivo
105,Anthony Chapman,Policia,930,Activo
106,Emily Davis,Cabo,1120,Activo
107,Rachel Phillips,Cabo,1120,Activo
108,Jasmine Clark,Cabo,1120,Inactivo
109,John Carter,Policia,930,Activo
110,Jessica Stanley,Sargento,1250,Activo
111,Brandon Flynn,Sargento,1250,Activo
112,Daniel Farmer,Cabo,1120,Activo
113,Gary Cooper,Cabo,1120,Inactivo
114,Dr. Walter Richards,Policia,930,Inactivo
115,Steven Burton,Policia,930,Activo
116,Mary Summers,Policia,930,Activo
117,Ebony Gordon,Cabo,1120,Activo
118,Kevin Reynolds,Sargento,1250,Inactivo
119,Christina Estes,Cabo,1120,Activo
120,Don Wang,Policia,930,Activo
121,Randall Farmer,Policia,930,Inactivo
122,Nicole Weaver,Policia,930,Activo
123,Judith Vaughn,Policia,930,Activo
124,Laurie Barker,Policia,930,Activo
125,Tammy Duran,Policia,930,Activo
126,Danielle Waters,Policia,930,Inactivo
127,Larry Flores,Cabo,1120,Activo
128,Donald Sandoval,Policia,930,Activo
129,Michael Lee,Policia,930,Activo
130,Justin Stevenson,Sargento,1250,Activo
131,Margaret Thompson,Policia,930,Activo
132,Rachel Escobar,Policia,930,Activo
133,Manuel Jackson,Sargento,1250,Activo
134,Timothy Reid,Cabo,1120,Inactivo
135,Robin Freeman,Policia,930,Activo
136,Peter Brady,Policia,930,Activo
137,Nicole Davis,Policia,930,Inactivo
138,Jenna Adams,Policia,930,Inactivo
139,James Martinez,Policia,930,Activo
140,Paige Carter,Policia,930,Activo
141,Paul Smith,Cabo,1120,Activo
142,Kayla Oconnor,Cabo,1120,Activo
143,Mr. David Peterson,Cabo,1120,Activo
144,Peter Alvarez,Policia,930,Inactivo
145,Tyler Miller,Policia,930,Activo
146,Jenny White,Sargento,1250,Activo
147,Christopher Smith,Policia,930,Activo
148,Geoffrey Pacheco,Policia,930,Activo
149,Michelle Hart,Policia,930,Activo
150,Nicholas Fritz,Policia,930,Activo
151,Jeffrey Jones,Policia,930,Activo
152,Tony Arnold,Policia,930,Activo
153,Angela Sharp,Policia,930,Activo
154,Katelyn Good,Policia,930,Activo
155,David Moore,Cabo,1120,Activo
156,Sandra Porter,Policia,930,Activo
157,Michael Garcia,Policia,930,Activo
158,Nicole Hall,Policia,930,Activo
159,Donald Boyd,Cabo,1120,Inactivo
160,Jesse Davis,Policia,930,Activo
161,Christy Howell,Cabo,1120,Activo
162,Jennifer Spencer,Cabo,1120,Activo
163,Mrs. Katherine Smith DVM,Cabo,1120,Inactivo
164,Frank Henry,Cabo,1120,Inactivo
165,Bradley Miller,Policia,930,Inactivo
166,Shelby Beard,Policia,930,Inactivo
167,Eduardo Dean,Policia,930,Activo
168,Justin Arroyo,Cabo,1120,Inactivo
169,Lisa Raymond,Cabo,1120,Activo
170,April Watkins,Policia,930,Inactivo
171,Kevin Harris,Cabo,1120,Inactivo
172,Natasha Crawford,Policia,930,Inactivo
173,Michael Smith,Cabo,1120,Activo
174,Megan Gutierrez,Cabo,1120,Activo
175,Benjamin Anderson,Policia,930,Activo
176,Leslie Fuller,Policia,930,Activo
177,Megan Miller,Cabo,1120,Activo
178,Hayley Jimenez,Cabo,1120,Activo
179,Robin Reed,Policia,930,Inactivo
180,Kevin Smith,Policia,930,Activo
181,Jessica Smith,Policia,930,Activo
182,Sean Morris,Policia,930,Activo
183,Angela Dominguez,Policia,930,Activo
184,Holly Baldwin,Policia,930,Activo
185,Timothy Mcintyre IV,Cabo,1120,Activo
186,Kyle Krueger,Policia,930,Inactivo
187,Lisa Green,Sargento,1250,Activo
188,Daniel Blankenship,Policia,930,Activo
189,Samantha Torres,Policia,930,Activo
190,Erika Ashley,Policia,930,Activo
191,Brett Brown,Policia,930,Activo
192,Christopher Herrera,Policia,930,Inactivo
193,Charles Snyder,Policia,930,Activo
194,Colin Johnson,Policia,930,Activo
195,James Ramos,Policia,930,Activo
196,Kenneth Osborne,Cabo,1120,Activo
197,Edward Wells,Policia,930,Activo
198,John Coleman,Cabo,1120,Activo
199,Jared Lawson,Cabo,1120,Inactivo
200,Lauren Smith,Policia,930,Activo
201,Sandra Wright,Policia,930,Activo
202,Kristen Black,Sargento,1250,Activo
203,Diana Fernandez,Policia,930,Activo
204,Amanda Gonzalez,Sargento,1250,Inactivo
205,Adam Ferguson,Policia,930,Inactivo
206,Vicki Manning,Cabo,1120,Activo
207,Karl Foley,Cabo,1120,Activo
208,James Mullins,Cabo,1120,Activo
209,Kelly Serrano,Sargento,1250,Inactivo
210,Jacob Hood,Policia,930,Activo
211,Stuart Wolf,Cabo,1120,Activo
212,Ashley Farley,Policia,930,Activo
213,Donald Anderson,Policia,930,Activo
214,Lauren Ball,Policia,930,Inactivo
215,Jose Gonzalez,Sargento,1250,Activo
216,Kristen Salazar,Policia,930,Activo
217,Joann Ramirez,Policia,930,Activo
218,James Pham,Policia,930,Inactivo
219,Natalie Nelson,Policia,930,Activo
220,Robert Clark MD,Cabo,1120,Inactivo
221,Steven Gates,Cabo,1120,Activo
222,Michael Morris,Sargento,1250,Inactivo
223,Ashley Scott,Policia,930,Activo
224,Amber Wang,Policia,930,Inactivo
225,Joseph Horne,Policia,930,Activo
226,Shannon Lozano,Policia,930,Activo
227,Dean Dillon,Policia,930,Inactivo
228,Debra Chang,Cabo,1120,Inactivo
229,Jodi Johnson,Policia,930,Activo
230,Amanda Bates,Cabo,1120,Activo
231,Sherry Walton,Policia,930,Inactivo
232,Lisa Ryan,Policia,930,Activo
233,Kayla Hunt,Sargento,1250,Inactivo
234,Anna James,Policia,930,Inactivo
235,Jennifer Miller,Policia,930,Activo
236,Bradley Clark MD,Policia,930,Activo
237,Allen Chavez,Cabo,1120,Inactivo
238,Elizabeth Jordan,Policia,930,Activo
239,Miranda Lane,Cabo,1120,Activo
240,Michelle Griffin,Sargento,1250,Activo
241,Terry Christensen,Policia,930,Activo
242,Natalie Huang,Cabo,1120,Activo
243,David Jensen,Cabo,1120,Activo
244,Heather Anderson,Policia,930,Inactivo
245,Kevin Tucker,Policia,930,Inactivo
246,Alexandria Lawson,Policia,930,Inactivo
247,Thomas Chen,Cabo,1120,Activo
248,Christy Sherman,Policia,930,Inactivo
249,Larry Reyes,Cabo,1120,Activo
250,Benjamin Smith,Policia,930,Activo
251,Mike Marshall,Policia,930,Inactivo
252,Antonio Brown,Policia,930,Activo
253,Kimberly Cox,Policia,930,Activo
254,Lisa Lynch,Sargento,1250,Activo
255,Travis Hunter,Policia,930,Activo
256,Lori Prince,Policia,930,Inactivo
257,Melissa Newton,Policia,930,Activo
258,Robert Williams,Policia,930,Inactivo
259,Daniel Ferguson,Policia,930,Activo
260,Kenneth Humphrey,Policia,930,Inactivo
261,Sabrina Webb,Policia,930,Inactivo
262,Meredith Moore,Policia,930,Activo
263,Sydney Ellis,Policia,930,Activo
264,Tony Callahan,Cabo,1120,Activo
265,Katrina Carroll,Policia,930,Activo
266,Courtney Gray,Policia,930,Activo
267,Harry Adkins,Policia,930,Inactivo
268,Lisa Smith,Cabo,1120,Activo
269,Anthony Goodman,Policia,930,Activo
270,Rita Ramirez,Sargento,1250,Activo
271,Mr. Robert Mack,Cabo,1120,Inactivo
272,Donna Campos,Cabo,1120,Activo
273,Paige Blackwell,Policia,930,Activo
274,Sara Mahoney,Cabo,1120,Activo
275,David Williams,Cabo,1120,Inactivo
276,Joseph Sweeney,Cabo,1120,Activo
277,Zoe Smith,Policia,930,Activo
278,Anthony Navarro,Policia,930,Inactivo
279,Stacy Smith,Policia,930,Inactivo
280,Katie Mack,Policia,930,Inactivo
281,Alejandro Hill,Policia,930,Inactivo
282,Allison Terry,Policia,930,Activo
283,Dwayne Brown,Cabo,1120,Activo
284,Tiffany Garcia,Policia,930,Inactivo
285,Cory Hopkins,Policia,930,Activo
286,Michael Nichols,Policia,930,Activo
287,Ryan Smith,Policia,930,Activo
288,Melissa Smith,Policia,930,Activo
289,Anthony Cole,Policia,930,Activo
290,Bobby Anderson,Cabo,1120,Activo
291,Curtis Cooper,Policia,930,Activo
292,Megan Long,Sargento,1250,Activo
293,Kayla Smith,Cabo,1120,Activo
294,Bonnie Clayton,Cabo,1120,Inactivo
295,Angela Harper,Cabo,1120,Inactivo
296,Jenna Odonnell,Policia,930,Activo
297,Amanda Lambert,Policia,930,Activo
298,Jennifer Keith,Cabo,1120,Activo
299,Darren Nelson,Policia,930,Inactivo
300,Mark Vega,Policia,930,Inactivo
301,Lisa Wright,Policia,930,Inactivo
302,Walter Roberts,Cabo,1120,Activo
303,Nichole Winters,Policia,930,Activo
304,Robert Griffin,Policia,930,Inactivo
305,Benjamin Bray,Cabo,1120,Activo
306,Dustin Clarke,Sargento,1250,Activo
307,Jason Fowler,Policia,930,Activo
308,Maria Marquez,Policia,930,Activo
309,Martin Randolph,Cabo,1120,Activo
310,Dr. Michael Smith,Policia,930,Activo
311,Angela Novak,Policia,930,Activo
312,Kathryn Dillon,Policia,930,Activo
313,Kimberly Perez,Policia,930,Activo
314,Kimberly Moore,Sargento,1250,Inactivo
315,Mandy Larsen,Policia,930,Activo
316,Elizabeth Smith,Policia,930,Activo
317,Luis Hall,Policia,930,Activo
318,Elizabeth Carlson,Policia,930,Inactivo
319,Alexa Gutierrez,Policia,930,Activo
320,Brian Moreno,Cabo,1120,Activo
321,Abigail Lee,Policia,930,Activo
322,Jordan Johnson,Policia,930,Activo
323,Miss Julie Wheeler,Sargento,1250,Activo
324,Amanda Taylor,Sargento,1250,Activo
325,Barbara Rose,Cabo,1120,Activo
326,Diana Hamilton,Cabo,1120,Inactivo
327,Anthony Myers,Policia,930,Activo
328,Randall Palmer,Sargento,1250,Inactivo
329,Joe Cabrera,Policia,930,Inactivo
330,Linda Johnson,Policia,930,Inactivo
331,Carly Carrillo,Policia,930,Activo
332,Haley Smith,Policia,930,Inactivo
333,David Jones,Cabo,1120,Inactivo
334,Jennifer Kirby,Cabo,1120,Inactivo
335,Jamie Johns,Cabo,1120,Activo
336,Bobby Rodriguez,Cabo,1120,Inactivo
337,Kathleen Armstrong,Policia,930,Inactivo
338,Karen Brown,Cabo,1120,Inactivo
339,Walter Lane,Sargento,1250,Inactivo
340,Jon Matthews,Sargento,1250,Activo
341,Antonio Clarke,Policia,930,Activo
342,Devon Martin,Policia,930,Inactivo
343,Steven Hill,Policia,930,Activo
344,Alexis Franklin,Cabo,1120,Activo
345,Cynthia Chase,Policia,930,Activo
346,Debra Carr,Policia,930,Activo
347,Rebecca Williams,Cabo,1120,Activo
348,Christine English,Policia,930,Activo
349,Elizabeth Tate,Policia,930,Inactivo
350,Dustin Dean,Sargento,1250,Activo
351,Andrew Lawson,Policia,930,Activo
352,Lacey Gordon,Policia,930,Activo
353,Scott Lopez,Policia,930,Inactivo
354,Kristine Garcia,Cabo,1120,Inactivo
355,James Medina,Policia,930,Activo
356,Cynthia Mcknight,Policia,930,Activo
357,Brittany Valdez,Policia,930,Activo
358,Jonathan Lawson,Cabo,1120,Inactivo
359,Ryan Cherry,Policia,930,Activo
360,Anna Harrison,Policia,930,Inactivo
361,Nancy Reyes,Policia,930,Activo
362,Joseph Lewis,Policia,930,Activo
363,Carrie Santiago,Cabo,1120,Inactivo
364,Mr. John White,Cabo,1120,Activo
365,Maria Perez,Cabo,1120,Activo
366,Jennifer Carpenter,Policia,930,Activo
367,Alexa Robinson DVM,Policia,930,Inactivo
368,Brett Hernandez,Sargento,1250,Activo
369,Thomas Garrison,Cabo,1120,Activo
370,Yolanda Floyd,Policia,930,Activo
371,Karen Pena,Cabo,1120,Inactivo
372,Ann Meyers,Policia,930,Activo
373,Cassandra Gregory,Cabo,1120,Inactivo
374,Jimmy Lee,Cabo,1120,Inactivo
375,Daniel Reyes,Policia,930,Inactivo
376,Jill Taylor,Cabo,1120,Activo
377,Sarah Brown,Policia,930,Activo
378,Steven Henderson,Policia,930,Inactivo
379,Dustin Bailey,Sargento,1250,Activo
380,Lauren Harvey,Policia,930,Activo
381,Jonathan Hall,Cabo,1120,Inactivo
382,James Herrera,Sargento,1250,Activo
383,Alex Stewart,Policia,930,Activo
384,Mrs. Michelle Lewis,Policia,930,Activo
385,William Thomas,Policia,930,Activo
386,Lucas Christian,Cabo,1120,Inactivo
387,Tina Green,Cabo,1120,Activo
388,Michael Powell,Policia,930,Activo
389,Jennifer Gross,Policia,930,Activo
390,Chad Wilkerson,Cabo,1120,Activo
391,Wendy Brown,Cabo,1120,Inactivo
392,Heather Phillips,Sargento,1250,Activo
393,Stacy Taylor,Cabo,1120,Activo
394,Rebecca Beasley,Cabo,1120,Activo
395,Jeffery Brown,Cabo,1120,Inactivo
396,Patrick Anderson,Sargento,1250,Inactivo
397,Pamela Hatfield,Cabo,1120,Activo
398,Nicholas Charles,Policia,930,Activo
399,Tyler Hoffman,Policia,930,Activo
400,Amanda Howard,Policia,930,Inactivo
401,Stephanie Howe,Policia,930,Inactivo
402,Jason Waters,Policia,930,Inactivo
403,Randy Mckee,Policia,930,Activo
404,Robin Nguyen,Sargento,1250,Activo
405,Adam Mcbride,Policia,930,Activo
406,Dawn Mcclain,Policia,930,Inactivo
407,Carlos Mcpherson,Policia,930,Inactivo
408,Alexandra Thompson,Sargento,1250,Inactivo
409,Mary Jones,Policia,930,Activo
410,Timothy Andersen DDS,Cabo,1120,Activo
411,Kenneth Butler,Policia,930,Activo
412,Pam Wilson,Policia,930,Activo
413,Erin Beasley,Policia,930,Inactivo
414,Kristen Anderson,Cabo,1120,Activo
415,Warren Martinez,Policia,930,Inactivo
416,Scott Lopez,Cabo,1120,Activo
417,Taylor Short,Cabo,1120,Activo
418,Rodney Johnson,Policia,930,Activo
419,Ashley Cline,Cabo,1120,Inactivo
420,Lawrence Howard,Cabo,1120,Activo
421,Michael Hernandez,Policia,930,Activo
422,Michael Baird,Policia,930,Inactivo
423,Laura Mills,Policia,930,Activo
424,Veronica Rodriguez,Cabo,1120,Activo
425,Brianna Ayers,Policia,930,Inactivo
426,Tracy Hendricks,Policia,930,Activo
427,Lori Holmes,Policia,930,Activo
428,William Jensen,Policia,930,Inactivo
429,Lisa Jacobs,Policia,930,Activo
430,John Becker,Policia,930,Activo
431,Penny Rodriguez,Policia,930,Activo
432,David Durham,Sargento,1250,Activo
433,Valerie Ward,Cabo,1120,Activo
434,Joshua Brown,Policia,930,Inactivo
435,Matthew Reynolds,Policia,930,Inactivo
436,Timothy Johnson,Policia,930,Inactivo
437,Amber Smith,Policia,930,Activo
438,Shelby Doyle DDS,Cabo,1120,Inactivo
439,Debbie Bird,Policia,930,Activo
440,Christina Black,Policia,930,Inactivo
441,Daniel Case,Policia,930,Activo
442,Sherry Miller,Policia,930,Activo
443,Andrew Hicks,Policia,930,Inactivo
444,Jennifer Parker,Policia,930,Inactivo
445,Charles Davis,Policia,930,Inactivo
446,Raymond Simmons,Policia,930,Inactivo
447,Andrew Lowe,Policia,930,Activo
448,Brenda Ryan,Policia,930,Inactivo
449,Bonnie Campbell,Policia,930,Activo
450,John Ellison,Policia,930,Activo
451,Charles Baker,Policia,930,Activo
452,Brenda Glenn,Policia,930,Inactivo
453,Barbara Hardy,Policia,930,Inactivo
454,Timothy Barajas,Sargento,1250,Activo
455,Lisa Tucker,Cabo,1120,Activo
456,Daryl Williams,Cabo,1120,Inactivo
457,Karen Price,Cabo,1120,Inactivo
458,Megan Adams,Policia,930,Activo
459,Michael Miller,Policia,930,Inactivo
460,Rachel Tran,Policia,930,Activo
461,Jordan Smith,Policia,930,Inactivo
462,Anna Chapman,Policia,930,Activo
463,Tricia Burke,Policia,930,Activo
464,Alexis Stephens,Cabo,1120,Inactivo
465,Michael Garrett,Cabo,1120,Inactivo
466,Hannah Peterson,Policia,930,Activo
467,Brian Allen,Policia,930,Activo
468,Kimberly Macias,Policia,930,Activo
469,Ashley Smith,Sargento,1250,Inactivo
470,Brian Newton,Cabo,1120,Activo
471,James Lee,Policia,930,Inactivo
472,Taylor Burns,Cabo,1120,Inactivo
473,Kenneth Daugherty,Policia,930,Activo
474,Carly Cochran,Sargento,1250,Inactivo
475,Dorothy West,Policia,930,Inactivo
476,Stephanie Lewis,Policia,930,Inactivo
477,Kevin Barker,Cabo,1120,Inactivo
478,Kevin Grant,Sargento,1250,Activo
479,Brandy Garrett,Policia,930,Inactivo
480,Brian Taylor,Policia,930,Activo
481,Michael Hurley,Cabo,1120,Inactivo
482,Jason Perkins,Policia,930,Activo
483,John Short,Cabo,1120,Activo
484,Denise Silva,Policia,930,Activo
485,Ryan Campbell,Policia,930,Inactivo
486,Jacqueline Russell,Policia,930,Activo
487,Tamara Wheeler,Policia,930,Activo
488,Erin Anderson,Policia,930,Activo
489,Cathy Todd,Policia,930,Inactivo
490,Logan Salinas,Policia,930,Inactivo
491,Melissa Cole,Sargento,1250,Activo
492,Kevin Gonzales,Policia,930,Activo
493,Tabitha Mccoy,Policia,930,Activo
494,Jacqueline Edwards,Cabo,1120,Activo
495,Bianca Casey,Policia,930,Activo
496,April Evans,Policia,930,Inactivo
497,Bailey Espinoza,Cabo,1120,Activo
498,Jill Lopez,Policia,930,Activo
499,Mr. Benjamin Watson,Policia,930,Inactivo
500,Megan Anderson,Policia,930,Inactivo
501,Stephanie Berry,Policia,930,Activo
502,Danielle Price,Policia,930,Inactivo
503,Kevin Cline,Policia,930,Activo
504,Stephanie Rojas,Policia,930,Activo
505,Rita Daniels,Policia,930,Activo
506,Cheryl Haynes,Policia,930,Activo
507,Wesley Hill,Policia,930,Activo
508,Lisa Smith,Policia,930,Activo
509,James Bowman,Policia,930,Activo
510,Anthony Lewis,Cabo,1120,Inactivo
511,Nancy Jones,Policia,930,Inactivo
512,Jesus Moore,Cabo,1120,Inactivo
513,Thomas Joseph,Sargento,1250,Inactivo
514,Hannah Lynn,Policia,930,Inactivo
515,Jacob Williams,Cabo,1120,Activo
516,Thomas Collins,Policia,930,Inactivo
517,Steven Proctor,Policia,930,Activo
518,Catherine Hayes,Cabo,1120,Inactivo
519,Lauren Cooper,Policia,930,Activo
520,John Walker,Policia,930,Activo
521,Jacob Cameron,Cabo,1120,Activo
522,Katherine Perez,Cabo,1120,Activo
523,Brittany Collins,Cabo,1120,Inactivo
524,Melissa Robinson,Sargento,1250,Inactivo
525,Christopher Williams,Policia,930,Inactivo
526,Elizabeth Anthony,Policia,930,Activo
527,Angela Gonzalez,Cabo,1120,Activo
528,Jeff Brown,Policia,930,Inactivo
529,Kristen Roy,Policia,930,Activo
530,Walter Morris,Policia,930,Activo
531,Brian Johnson,Policia,930,Activo
532,Hailey Casey,Policia,930,Inactivo
533,Shari Ortega,Policia,930,Activo
534,Jessica Castillo,Policia,930,Activo
535,Christy Taylor,Cabo,1120,Activo
536,Michael Mcclain,Cabo,1120,Activo
537,Joseph Larsen,Cabo,1120,Activo
538,Melissa Price,Policia,930,Activo
539,Jose Anderson,Policia,930,Activo
540,Robert Hudson,Policia,930,Activo
541,Tammy Cross,Policia,930,Activo
542,Erin Scott,Policia,930,Activo
543,Shawn Barrera,Policia,930,Activo
544,Aaron Chan,Cabo,1120,Activo
545,Sarah Harris,Policia,930,Activo
546,Felicia Jennings,Policia,930,Inactivo
547,Russell Ellis,Cabo,1120,Activo
548,John Perry,Cabo,1120,Activo
549,Shane Arnold,Policia,930,Activo
550,Donna Davis,Cabo,1120,Inactivo
551,Michael Cruz,Policia,930,Activo
552,Claudia Torres,Cabo,1120,Activo
553,Justin Sexton,Cabo,1120,Inactivo
554,Robert Navarro,Policia,930,Activo
555,Matthew Braun,Policia,930,Activo
556,Anthony Melton,Policia,930,Activo
557,Kristin Salinas,Policia,930,Activo
558,Samuel House,Policia,930,Inactivo
559,Abigail Woodard,Policia,930,Activo
560,Whitney Wall,Policia,930,Activo
561,Zachary Smith,Cabo,1120,Inactivo
562,Natalie Wolf,Policia,930,Activo
563,Lisa Simpson,Cabo,1120,Inactivo
564,Dakota Schultz,Policia,930,Activo
565,Brandon Greene DVM,Policia,930,Activo
566,Shannon Chavez,Policia,930,Activo
567,Jeremy Acevedo,Cabo,1120,Activo
568,Cynthia Roberts,Policia,930,Activo
569,Christina Moore,Policia,930,Activo
570,Kathleen Lewis,Cabo,1120,Activo
571,Michael Wilkerson,Cabo,1120,Activo
572,Gabriel Estrada,Cabo,1120,Inactivo
573,Levi Patrick,Sargento,1250,Activo
574,Amy Briggs,Policia,930,Inactivo
575,Larry Mcpherson,Policia,930,Activo
576,Drew Hart,Sargento,1250,Activo
577,Alan Frederick,Sargento,1250,Activo
578,Samantha Young,Policia,930,Inactivo
579,Danielle Shelton,Sargento,1250,Activo
580,Michael Ruiz,Policia,930,Activo
581,John Harvey,Policia,930,Activo
582,Henry Harris,Cabo,1120,Inactivo
583,Jennifer Garcia,Cabo,1120,Activo
584,Maria Price,Sargento,1250,Activo
585,Michael Prince,Policia,930,Activo
586,Jennifer Snyder,Policia,930,Activo
587,Brandon Green,Policia,930,Activo
588,Melanie Huber,Policia,930,Activo
589,Steven Williams,Cabo,1120,Activo
590,Patrick Johnson,Policia,930,Inactivo
591,Steve Williams,Cabo,1120,Activo
592,Omar Hopkins,Policia,930,Activo
593,Dr. Lindsey Taylor,Cabo,1120,Activo
594,Benjamin Gomez,Cabo,1120,Activo
595,Michele Black,Policia,930,Inactivo
596,David Alexander,Policia,930,Activo
597,Raymond Schroeder,Cabo,1120,Activo
598,Scott Jackson,Policia,930,Activo
599,Jodi Barnes,Policia,930,Inactivo
600,Jeremy Stone,Cabo,1120,Inactivo
601,Nicholas Flores,Sargento,1250,Activo
602,Terry Hill MD,Policia,930,Activo
603,Isaac White,Cabo,1120,Inactivo
604,Joshua Turner,Policia,930,Activo
605,Joshua Barrett,Policia,930,Activo
606,Andrea Anthony,Sargento,1250,Inactivo
607,Joel Jones,Policia,930,Inactivo
608,Caroline Norton,Cabo,1120,Inactivo
609,Karen Murphy,Policia,930,Inactivo
610,Brian Butler,Policia,930,Activo
611,Kimberly Wilson,Policia,930,Activo
612,Amy Arnold,Policia,930,Inactivo
613,Rhonda Wallace,Cabo,1120,Inactivo
614,Mitchell Roberts,Cabo,1120,Activo
615,Mr. Aaron King,Cabo,1120,Inactivo
616,John Alexander,Policia,930,Activo
617,Sheryl Carlson,Policia,930,Activo
618,Chase White,Policia,930,Activo
619,Lauren Morris DDS,Cabo,1120,Activo
620,William Evans,Policia,930,Activo
621,Michael Davis,Policia,930,Inactivo
622,Melissa Frazier,Policia,930,Activo
623,Paul Herrera,Cabo,1120,Inactivo
624,Randall Willis,Policia,930,Inactivo
625,Matthew Cook,Policia,930,Activo
626,Jessica Fischer,Cabo,1120,Activo
627,Angela Dyer,Sargento,1250,Activo
628,David Ibarra,Cabo,1120,Activo
629,Susan Velazquez,Policia,930,Inactivo
630,Diana Holmes,Cabo,1120,Activo
631,Richard Black,Policia,930,Activo
632,Jason Williams,Cabo,1120,Activo
633,Christian Horton,Policia,930,Activo
634,Rachel Flores,Policia,930,Activo
635,Karen Harris,Policia,930,Activo
636,Jared Ortiz,Cabo,1120,Activo
637,Claire Woods,Policia,930,Activo
638,Catherine Marks,Cabo,1120,Activo
