nbr_inc_id,var_inc_nombre,var_inc_fecha,var_inc_status,nbr_ci_id
90,Morgan,2020-12-06,Caso Archivado,90
91,Jones,2021-04-30,Caso activo,91
92,Mueller,2020-06-10,Caso Archivado,92
93,Randall,2020-08-05,Caso activo,93
94,Nelson,2021-10-06,Caso activo,94
95,Austin,2021-05-30,Caso activo,95
96,Romero,2022-02-18,Caso cerrado,96
97,Wilson,2022-08-17,Caso activo,97
98,Schaefer,2022-11-28,Caso cerrado,98
99,Serrano,2021-10-05,Caso activo,99
100,White,2022-09-29,Caso activo,100
101,Lambert,2021-11-23,Caso cerrado,101
102,Castillo,2021-10-04,Caso Archivado,102
103,Rodriguez,2020-02-01,Caso Archivado,103
104,Washington,2020-10-12,Caso Archivado,104
105,Perez,2020-05-29,Caso cerrado,105
106,Chavez,2021-09-17,Caso activo,106
107,Chang,2022-06-24,Caso activo,107
108,Gonzalez,2021-12-17,Caso activo,108
109,Lopez,2020-09-23,Caso activo,109
110,Jimenez,2020-08-04,Caso activo,110
111,Mccoy,2022-03-31,Caso activo,111
112,Jackson,2021-01-16,Caso cerrado,112
113,Robertson,2021-05-18,Caso activo,113
114,White,2021-05-23,Caso activo,114
115,Martinez,2022-05-18,Caso activo,115
116,Bowman,2021-08-17,Caso cerrado,116
117,Romero,2020-05-02,Caso activo,117
118,Weaver,2021-04-04,Caso activo,118
119,Carroll,2020-04-09,Caso activo,119
120,Taylor,2022-04-16,Caso Archivado,120
121,Dean,2021-05-04,Caso Archivado,121
122,Hester,2021-08-01,Caso Archivado,122
123,Burton,2020-06-15,Caso cerrado,123
124,Simmons,2022-11-03,Caso cerrado,124
125,Kirby,2022-08-14,Caso activo,125
126,Carlson,2022-02-03,Caso Archivado,126
127,Taylor,2020-07-31,Caso activo,127
128,Mercado,2022-10-21,Caso activo,128
129,Jones,2022-04-11,Caso Archivado,129
130,Barnes,2021-02-16,Caso activo,130
131,Donaldson,2020-05-11,Caso cerrado,131
132,Barron,2021-04-24,Caso Archivado,132
133,Walker,2020-08-28,Caso activo,133
134,Green,2021-01-10,Caso activo,134
135,Barry,2020-07-10,Caso activo,135
136,Harris,2021-10-19,Caso Archivado,136
137,Jacobson,2020-09-21,Caso activo,137
138,Johnson,2020-11-05,Caso Archivado,138
139,Williams,2021-08-31,Caso activo,139
140,Taylor,2021-11-13,Caso cerrado,140
141,Fisher,2020-05-15,Caso activo,141
142,Collins,2021-07-12,Caso Archivado,142
143,Sims,2021-01-25,Caso Archivado,143
144,Harris,2020-03-24,Caso activo,144
145,Bullock,2022-06-19,Caso Archivado,145
146,Patton,2020-05-06,Caso activo,146
147,Lewis,2020-02-07,Caso activo,147
148,Bush,2021-02-09,Caso Archivado,148
149,Ryan,2020-03-28,Caso activo,149
150,Crane,2022-01-30,Caso activo,150
151,Smith,2020-12-18,Caso activo,151
152,Campbell,2021-08-21,Caso Archivado,152
153,Garcia,2020-08-30,Caso activo,153
154,Thomas,2022-10-04,Caso activo,154
155,Pratt,2021-01-29,Caso activo,155
156,Tate,2021-11-03,Caso activo,156
157,Smith,2020-11-28,Caso activo,157
158,Stephens,2023-01-15,Caso cerrado,158
159,Hanson,2022-06-14,Caso activo,159
160,Allen,2022-11-06,Caso Archivado,160
161,Good,2022-06-01,Caso Archivado,161
162,Hardy,2021-10-17,Caso Archivado,162
163,Odom,2022-01-21,Caso cerrado,163
164,Watson,2020-02-05,Caso cerrado,164
165,Marks,2020-03-29,Caso activo,165
166,Collins,2022-04-07,Caso activo,166
167,Cruz,2020-11-25,Caso activo,167
168,Thomas,2022-05-14,Caso Archivado,168
169,Wise,2022-03-17,Caso Archivado,169
170,Johnson,2020-11-25,Caso Archivado,170
171,Jones,2021-07-24,Caso Archivado,171
172,Robinson,2021-01-02,Caso activo,172
173,Rodriguez,2021-05-07,Caso Archivado,173
174,Davis,2021-06-21,Caso activo,174
175,Blackburn,2021-12-13,Caso activo,175
176,Watts,2022-08-12,Caso Archivado,176
177,Novak,2021-01-19,Caso activo,177
178,Daniels,2020-09-13,Caso activo,178
179,Nguyen,2022-09-05,Caso cerrado,179
180,Phillips,2021-06-06,Caso activo,180
181,Hodges,2020-02-22,Caso cerrado,181
182,Webb,2020-04-19,Caso activo,182
183,Hutchinson,2020-09-12,Caso activo,183
184,Brennan,2020-01-18,Caso activo,184
185,Hoffman,2022-08-03,Caso cerrado,185
186,Jones,2021-11-28,Caso activo,186
187,Moore,2022-05-26,Caso activo,187
188,Hines,2022-03-08,Caso Archivado,188
189,Smith,2022-07-15,Caso activo,189
190,Robinson,2020-04-10,Caso activo,190
191,Gutierrez,2020-10-02,Caso Archivado,191
192,White,2020-07-14,Caso activo,192
193,Cline,2020-12-02,Caso Archivado,193
194,Shelton,2020-09-27,Caso Archivado,194
195,Dominguez,2021-05-15,Caso activo,195
196,Rubio,2022-08-09,Caso cerrado,196
197,Boyd,2020-10-11,Caso cerrado,197
198,Wilson,2022-03-16,Caso Archivado,198
199,Taylor,2020-12-24,Caso Archivado,199
200,Rice,2021-02-21,Caso Archivado,200
201,Moreno,2020-05-28,Caso activo,201
202,Maxwell,2021-12-04,Caso Archivado,202
203,Burns,2021-11-13,Caso cerrado,203
204,Taylor,2023-01-15,Caso Archivado,204
205,Williams,2022-02-18,Caso activo,205
206,Snyder,2020-12-09,Caso Archivado,206
207,Allen,2020-09-21,Caso Archivado,207
208,Crawford,2022-12-01,Caso Archivado,208
209,Huffman,2020-01-20,Caso cerrado,209
210,Brown,2021-05-26,Caso activo,210
211,Walsh,2021-07-30,Caso activo,211
212,Sanchez,2020-09-10,Caso activo,212
213,Lopez,2023-01-03,Caso cerrado,213
214,Sherman,2021-03-01,Caso activo,214
215,Bryant,2022-01-23,Caso activo,215
216,Tucker,2022-02-05,Caso Archivado,216
217,Burch,2020-04-13,Caso Archivado,217
218,Arias,2020-07-12,Caso activo,218
219,Frank,2022-11-11,Caso cerrado,219
220,Mack,2022-05-28,Caso activo,220
221,Williams,2020-01-28,Caso cerrado,221
222,Campbell,2020-05-27,Caso activo,222
223,Stephens,2022-11-24,Caso Archivado,223
224,Alvarez,2021-10-14,Caso cerrado,224
225,Miller,2020-04-10,Caso Archivado,225
226,Hubbard,2021-06-22,Caso cerrado,226
227,Price,2021-07-29,Caso activo,227
228,Black,2021-10-12,Caso cerrado,228
229,Jensen,2020-08-26,Caso Archivado,229
230,Ruiz,2021-11-14,Caso Archivado,230
231,Clark,2022-01-26,Caso Archivado,231
232,Sampson,2022-06-15,Caso activo,232
233,Andrews,2020-12-04,Caso cerrado,233
234,Arnold,2020-03-31,Caso cerrado,234
235,Long,2020-08-26,Caso Archivado,235
236,Lewis,2022-12-22,Caso activo,236
237,Jones,2022-04-24,Caso Archivado,237
238,Hawkins,2020-05-22,Caso activo,238
239,Drake,2020-07-28,Caso cerrado,239
240,Boyd,2020-02-27,Caso activo,240
241,Young,2020-02-25,Caso cerrado,241
242,Leblanc,2020-05-18,Caso activo,242
243,Peterson,2020-02-13,Caso activo,243
244,Sanchez,2020-11-03,Caso Archivado,244
245,White,2021-09-01,Caso activo,245
246,Mendoza,2022-09-17,Caso cerrado,246
247,Watson,2022-07-22,Caso activo,247
248,Moore,2020-03-13,Caso cerrado,248
249,Rollins,2022-12-23,Caso Archivado,249
250,Fischer,2020-07-14,Caso activo,250
251,Daniels,2022-03-04,Caso activo,251
252,Benson,2020-07-31,Caso Archivado,252
253,Washington,2022-11-04,Caso Archivado,253
254,Conner,2022-03-02,Caso Archivado,254
255,Robinson,2020-02-03,Caso activo,255
256,Spencer,2022-08-04,Caso activo,256
257,Hunt,2021-04-15,Caso Archivado,257
258,Mcclain,2022-11-11,Caso cerrado,258
259,Young,2020-02-11,Caso activo,259
260,Ortega,2021-03-11,Caso cerrado,260
261,Alvarez,2020-09-09,Caso activo,261
262,Hartman,2020-07-14,Caso activo,262
263,Patterson,2021-11-13,Caso cerrado,263
264,Lewis,2021-06-08,Caso activo,264
265,Baker,2021-08-11,Caso cerrado,265
266,Goodman,2020-02-12,Caso cerrado,266
267,Haynes,2021-04-20,Caso Archivado,267
268,Hardy,2021-04-16,Caso Archivado,268
269,Williams,2021-02-04,Caso cerrado,269
270,Davis,2022-01-19,Caso activo,270
271,Clark,2021-04-03,Caso Archivado,271
272,Wang,2022-04-19,Caso cerrado,272
273,Lawson,2022-01-24,Caso activo,273
274,Waters,2022-05-09,Caso activo,274
275,Carlson,2021-07-10,Caso activo,275
276,Campos,2021-11-17,Caso activo,276
277,Frazier,2021-07-13,Caso activo,277
278,Petersen,2021-07-25,Caso activo,278
279,Johnson,2021-09-04,Caso Archivado,279
280,Griffin,2020-01-16,Caso Archivado,280
281,Herman,2020-08-07,Caso cerrado,281
282,Robertson,2022-05-19,Caso activo,282
283,Pierce,2022-03-06,Caso activo,283
284,Murphy,2020-04-07,Caso activo,284
285,Johnson,2021-10-05,Caso Archivado,285
286,Walls,2021-07-30,Caso activo,286
287,Gillespie,2021-12-20,Caso activo,287
288,Lewis,2020-12-26,Caso Archivado,288
289,Bond,2022-06-21,Caso Archivado,289
290,Church,2021-12-20,Caso activo,290
291,Allen,2021-08-19,Caso Archivado,291
292,Wilson,2021-06-19,Caso activo,292
293,Elliott,2022-05-05,Caso activo,293
294,Nelson,2022-12-28,Caso activo,294
295,White,2022-06-15,Caso Archivado,295
296,Davis,2021-05-25,Caso Archivado,296
297,Valenzuela,2022-01-13,Caso cerrado,297
298,Brown,2022-06-12,Caso activo,298
299,Hurst,2021-12-09,Caso activo,299
300,Allen,2022-07-09,Caso activo,300
301,Hebert,2020-09-08,Caso Archivado,301
302,Long,2020-02-03,Caso cerrado,302
303,Cohen,2022-10-01,Caso activo,303
304,Nelson,2020-08-14,Caso activo,304
305,Ferguson,2020-09-18,Caso activo,305
306,Wilson,2020-08-21,Caso activo,306
307,Torres,2022-07-04,Caso Archivado,307
308,Cannon,2022-12-15,Caso Archivado,308
309,Clements,2021-03-30,Caso activo,309
310,Flores,2020-05-19,Caso activo,310
311,Smith,2020-10-08,Caso activo,311
312,Flores,2020-01-07,Caso activo,312
313,Sanchez,2021-11-21,Caso activo,313
314,Williams,2020-01-23,Caso cerrado,314
315,Petersen,2022-03-24,Caso activo,315
316,Hunt,2022-08-27,Caso Archivado,316
317,Andrews,2022-06-06,Caso Archivado,317
318,Cordova,2022-07-31,Caso activo,318
319,Stephens,2021-03-14,Caso activo,319
320,Mcpherson,2021-04-19,Caso Archivado,320
321,Gill,2021-02-23,Caso activo,321
322,Freeman,2021-10-18,Caso activo,322
323,Russell,2020-04-01,Caso activo,323
324,Lowery,2021-09-26,Caso cerrado,324
325,Bonilla,2022-11-23,Caso cerrado,325
326,Chapman,2022-12-12,Caso Archivado,326
327,Gonzales,2021-09-09,Caso activo,327
328,Simmons,2021-05-03,Caso Archivado,328
329,Santos,2022-12-27,Caso Archivado,329
330,Pena,2022-12-31,Caso activo,330
331,Chavez,2022-05-16,Caso activo,331
332,Graham,2020-03-05,Caso cerrado,332
333,Patterson,2022-09-27,Caso activo,333
334,Olson,2020-01-06,Caso activo,334
335,Bond,2020-10-29,Caso cerrado,335
336,Ochoa,2021-07-22,Caso activo,336
337,Rhodes,2022-05-22,Caso cerrado,337
338,Klein,2020-02-21,Caso cerrado,338
339,Robinson,2020-12-06,Caso activo,339
340,Pearson,2021-08-29,Caso activo,340
341,Diaz,2022-06-23,Caso Archivado,341
342,Parsons,2021-04-26,Caso Archivado,342
343,Burns,2020-01-28,Caso Archivado,343
344,Smith,2023-01-20,Caso activo,344
345,Mckee,2021-12-20,Caso Archivado,345
346,Waters,2020-11-21,Caso activo,346
347,Miller,2021-05-30,Caso activo,347
348,Levy,2021-05-10,Caso activo,348
349,Rasmussen,2020-10-05,Caso activo,349
350,Nash,2022-07-16,Caso activo,350
351,Rodgers,2020-06-10,Caso activo,351
352,Thomas,2022-12-22,Caso cerrado,352
353,Harris,2021-12-17,Caso cerrado,353
354,Watkins,2020-11-05,Caso Archivado,354
355,Lee,2022-11-26,Caso cerrado,355
356,Mahoney,2021-08-07,Caso activo,356
357,Griffith,2021-04-05,Caso Archivado,357
358,Holmes,2021-01-30,Caso activo,358
359,Martinez,2020-08-11,Caso activo,359
360,Stanley,2021-10-25,Caso activo,360
361,Roman,2021-07-22,Caso activo,361
362,Cole,2023-01-05,Caso activo,362
363,Fox,2021-01-01,Caso activo,363
364,Butler,2021-09-16,Caso Archivado,364
365,Schwartz,2022-09-03,Caso cerrado,365
366,Davis,2020-05-17,Caso activo,366
367,Ellis,2021-07-22,Caso cerrado,367
368,Miller,2022-05-30,Caso activo,368
369,Allison,2020-02-17,Caso Archivado,369
370,Gutierrez,2020-10-12,Caso cerrado,370
371,David,2020-09-28,Caso activo,371
372,Logan,2022-06-18,Caso activo,372
373,Smith,2020-09-06,Caso cerrado,373
374,Jones,2022-10-01,Caso cerrado,374
375,Morris,2020-12-23,Caso activo,375
376,Mccoy,2022-01-25,Caso Archivado,376
377,Walton,2020-02-22,Caso activo,377
378,Burgess,2020-09-28,Caso activo,378
379,Simmons,2020-11-26,Caso activo,379
380,Miller,2020-07-03,Caso Archivado,380
381,Lopez,2020-11-06,Caso cerrado,381
382,Gonzalez,2020-01-17,Caso Archivado,382
383,Parsons,2022-01-19,Caso Archivado,383
384,Mccormick,2020-06-01,Caso Archivado,384
385,Hayes,2020-01-05,Caso Archivado,385
386,Wilcox,2021-07-01,Caso cerrado,386
387,Wilcox,2020-06-07,Caso Archivado,387
388,Smith,2021-01-10,Caso Archivado,388
389,Taylor,2021-12-13,Caso cerrado,389
390,Webb,2020-06-14,Caso activo,390
391,Macias,2021-09-07,Caso Archivado,391
392,Park,2020-12-31,Caso Archivado,392
393,Underwood,2021-11-28,Caso cerrado,393
394,Harrison,2022-06-10,Caso Archivado,394
395,Smith,2020-07-24,Caso activo,395
396,Brown,2020-02-20,Caso cerrado,396
397,Ramos,2021-04-30,Caso activo,397
398,Bishop,2022-07-15,Caso cerrado,398
399,Wright,2021-09-28,Caso Archivado,399
400,Mora,2020-11-12,Caso cerrado,400
401,Hobbs,2021-10-03,Caso cerrado,401
402,Smith,2021-09-30,Caso activo,402
403,Bell,2022-06-04,Caso activo,403
404,Pittman,2020-09-27,Caso Archivado,404
405,Wood,2020-10-03,Caso activo,405
406,Perry,2020-03-05,Caso activo,406
407,Huang,2022-12-24,Caso cerrado,407
408,Levy,2022-11-29,Caso Archivado,408
409,Webster,2022-02-11,Caso activo,409
410,Carter,2021-01-03,Caso Archivado,410
411,Noble,2022-08-17,Caso Archivado,411
412,Johnson,2022-03-21,Caso Archivado,412
413,Green,2020-08-04,Caso activo,413
414,Reilly,2020-12-22,Caso Archivado,414
415,Miller,2020-01-23,Caso activo,415
416,Ruiz,2022-02-09,Caso activo,416
417,Lopez,2021-06-19,Caso cerrado,417
418,Cox,2021-02-07,Caso Archivado,418
419,Jackson,2021-06-18,Caso Archivado,419
420,Edwards,2022-12-20,Caso Archivado,420
421,Gomez,2020-05-11,Caso activo,421
422,Taylor,2021-01-18,Caso Archivado,422
423,Day,2022-03-09,Caso Archivado,423
424,Lawson,2022-07-25,Caso activo,424
425,Wagner,2020-11-13,Caso cerrado,425
426,Bailey,2020-08-22,Caso activo,426
427,Casey,2022-05-19,Caso activo,427
428,Garcia,2020-02-06,Caso Archivado,428
429,Bell,2020-05-22,Caso Archivado,429
430,Vazquez,2020-11-27,Caso activo,430
431,Patterson,2022-03-13,Caso Archivado,431
432,Ray,2021-04-07,Caso cerrado,432
433,Rogers,2021-09-28,Caso cerrado,433
434,Lewis,2021-10-20,Caso cerrado,434
435,Snyder,2020-01-18,Caso cerrado,435
436,Reed,2021-11-27,Caso activo,436
437,Farrell,2020-09-03,Caso activo,437
438,Phelps,2021-11-24,Caso cerrado,438
439,Smith,2020-10-24,Caso cerrado,439
440,Jordan,2022-04-04,Caso Archivado,440
441,Mccormick,2020-02-29,Caso cerrado,441
442,Williams,2021-01-20,Caso Archivado,442
443,King,2020-01-04,Caso activo,443
444,Harvey,2021-10-12,Caso activo,444
445,Rhodes,2020-07-07,Caso Archivado,445
446,Pratt,2022-08-26,Caso activo,446
447,Scott,2022-09-27,Caso Archivado,447
448,Coleman,2020-03-30,Caso activo,448
449,Flores,2022-03-05,Caso activo,449
450,Walker,2022-08-12,Caso cerrado,450
451,Fry,2021-10-30,Caso Archivado,451
452,Hall,2020-06-26,Caso activo,452
453,Elliott,2021-07-06,Caso Archivado,453
454,Bell,2021-05-24,Caso activo,454
455,Moore,2022-11-12,Caso activo,455
456,King,2022-08-20,Caso activo,456
457,Martinez,2022-09-25,Caso activo,457
458,Cummings,2020-04-09,Caso activo,458
459,Thomas,2020-08-03,Caso cerrado,459
460,Chang,2021-04-24,Caso activo,460
461,Baker,2021-02-20,Caso Archivado,461
462,Stephens,2020-09-01,Caso Archivado,462
463,Nash,2020-08-15,Caso activo,463
464,Johnston,2021-07-15,Caso activo,464
465,Cabrera,2022-02-01,Caso cerrado,465
466,Compton,2022-05-02,Caso Archivado,466
467,King,2022-02-27,Caso activo,467
468,Lambert,2021-04-18,Caso cerrado,468
469,Wagner,2022-09-27,Caso activo,469
470,Meza,2021-12-18,Caso Archivado,470
471,Jones,2022-12-27,Caso Archivado,471
472,Estrada,2022-12-27,Caso activo,472
473,Castaneda,2020-11-12,Caso Archivado,473
474,Levine,2021-05-05,Caso cerrado,474
475,Sloan,2022-05-21,Caso Archivado,475
476,Hughes,2020-03-21,Caso activo,476
477,Sherman,2021-12-18,Caso Archivado,477
478,Stevens,2022-05-02,Caso activo,478
479,Cruz,2021-06-03,Caso cerrado,479
480,Cooper,2021-01-03,Caso Archivado,480
481,Mcdonald,2022-06-07,Caso activo,481
482,Blair,2021-11-07,Caso Archivado,482
483,Welch,2021-01-09,Caso activo,483
484,Allen,2020-04-09,Caso activo,484
485,Farrell,2021-04-14,Caso cerrado,485
486,Perry,2020-01-24,Caso Archivado,486
487,Valenzuela,2020-09-15,Caso activo,487
488,Klein,2022-10-29,Caso activo,488
489,Nolan,2020-04-10,Caso activo,489
490,Keller,2022-04-26,Caso cerrado,490
491,Armstrong,2020-05-21,Caso cerrado,491
492,Baker,2020-06-14,Caso Archivado,492
493,Lynn,2021-06-13,Caso activo,493
494,Jones,2022-11-03,Caso Archivado,494
495,Wong,2021-01-26,Caso activo,495
496,Hughes,2021-07-19,Caso cerrado,496
497,Aguilar,2020-06-06,Caso activo,497
498,Martin,2021-08-23,Caso activo,498
499,Barrett,2020-07-23,Caso activo,499
500,Patel,2021-05-21,Caso Archivado,500
501,Maldonado,2020-07-01,Caso cerrado,501
502,Pittman,2020-03-03,Caso cerrado,502
503,Smith,2023-01-16,Caso activo,503
504,Rodriguez,2022-04-01,Caso activo,504
505,Johnson,2020-08-29,Caso activo,505
506,Hartman,2020-10-17,Caso Archivado,506
507,Williams,2022-07-10,Caso Archivado,507
508,Baker,2021-05-25,Caso cerrado,508
509,Fisher,2022-10-25,Caso activo,509
510,Williams,2020-04-15,Caso activo,510
511,Clark,2021-03-26,Caso activo,511
512,Walton,2020-11-07,Caso activo,512
513,Avila,2020-05-27,Caso Archivado,513
514,Hall,2021-06-01,Caso cerrado,514
515,Simmons,2022-12-22,Caso cerrado,515
516,Duke,2022-07-19,Caso cerrado,516
517,Parks,2021-03-02,Caso activo,517
518,Leon,2020-12-21,Caso Archivado,518
519,Brown,2021-03-19,Caso cerrado,519
520,Davis,2023-01-09,Caso Archivado,520
521,Oconnor,2022-05-11,Caso Archivado,521
522,Reyes,2021-12-06,Caso activo,522
523,Travis,2021-04-07,Caso cerrado,523
524,Rodriguez,2021-09-11,Caso activo,524
525,Key,2020-06-15,Caso Archivado,525
526,Anderson,2020-06-19,Caso activo,526
527,Brock,2022-07-21,Caso Archivado,527
528,Escobar,2021-03-26,Caso cerrado,528
529,House,2022-10-03,Caso Archivado,529
530,Martinez,2021-06-27,Caso activo,530
531,Byrd,2022-10-27,Caso cerrado,531
532,Jenkins,2020-08-21,Caso activo,532
533,Richard,2021-01-14,Caso activo,533
534,Mcdowell,2020-11-13,Caso activo,534
535,Vaughn,2022-11-05,Caso activo,535
536,Wilson,2020-06-28,Caso activo,536
537,Baxter,2022-01-19,Caso activo,537
538,Hobbs,2022-08-03,Caso cerrado,538
539,David,2021-12-18,Caso activo,539
540,Gaines,2022-12-20,Caso activo,540
541,Schmidt,2020-07-23,Caso cerrado,541
542,Rubio,2020-12-24,Caso Archivado,542
543,Lee,2021-09-13,Caso cerrado,543
544,Davis,2021-02-23,Caso cerrado,544
545,Ruiz,2020-10-21,Caso cerrado,545
546,Garcia,2022-06-27,Caso cerrado,546
547,Russell,2022-11-07,Caso Archivado,547
548,Harris,2020-10-11,Caso Archivado,548
549,Vazquez,2020-01-16,Caso Archivado,549
550,Sawyer,2020-06-06,Caso Archivado,550
551,Cox,2022-02-28,Caso activo,551
552,Jordan,2021-07-02,Caso cerrado,552
553,Smith,2021-10-29,Caso Archivado,553
554,Cherry,2020-07-20,Caso activo,554
555,Pittman,2022-02-23,Caso cerrado,555
556,Blackburn,2021-09-30,Caso activo,556
557,Bailey,2021-12-20,Caso Archivado,557
558,Palmer,2020-03-14,Caso cerrado,558
559,Lee,2021-02-20,Caso Archivado,559
560,Jimenez,2021-06-29,Caso activo,560
561,Rice,2021-09-09,Caso activo,561
562,Hernandez,2020-11-24,Caso activo,562
563,Taylor,2022-02-23,Caso Archivado,563
564,Oneill,2022-09-26,Caso activo,564
565,Hernandez,2022-10-04,Caso activo,565
566,Ray,2022-06-27,Caso cerrado,566
567,Howell,2020-01-29,Caso activo,567
568,Manning,2021-07-22,Caso cerrado,568
569,Mitchell,2020-06-03,Caso cerrado,569
570,Bailey,2020-03-02,Caso Archivado,570
571,Gonzalez,2022-04-07,Caso activo,571
572,Price,2020-09-12,Caso activo,572
573,Wright,2021-03-03,Caso Archivado,573
574,Lucas,2021-11-28,Caso activo,574
575,Mitchell,2020-10-01,Caso cerrado,575
576,Palmer,2021-02-13,Caso activo,576
577,Harris,2022-08-23,Caso activo,577
578,Holmes,2022-01-25,Caso Archivado,578
579,Castro,2021-04-05,Caso activo,579
580,Raymond,2022-08-23,Caso Archivado,580
581,Campbell,2021-01-17,Caso activo,581
582,Kaiser,2021-11-02,Caso activo,582
583,Miller,2020-04-16,Caso Archivado,583
584,Castillo,2021-08-27,Caso Archivado,584
585,Pena,2021-04-06,Caso Archivado,585
586,Mercer,2021-10-20,Caso activo,586
587,Pena,2020-03-30,Caso cerrado,587
588,Oneill,2020-04-12,Caso activo,588
589,Anderson,2022-11-27,Caso activo,589
590,Diaz,2021-12-28,Caso activo,590
591,Buchanan,2022-04-19,Caso activo,591
592,Garrison,2021-08-16,Caso cerrado,592
593,Holt,2021-07-18,Caso cerrado,593
594,Davis,2020-08-31,Caso cerrado,594
595,Collier,2021-02-22,Caso Archivado,595
596,Mcgee,2020-07-30,Caso Archivado,596
597,Garcia,2021-07-20,Caso activo,597
598,Carlson,2020-01-31,Caso activo,598
599,Harris,2021-07-09,Caso Archivado,599
600,Barnes,2021-12-10,Caso activo,600
601,Morales,2022-10-14,Caso Archivado,601
602,Padilla,2020-05-18,Caso Archivado,602
603,Ruiz,2021-06-07,Caso cerrado,603
604,Willis,2022-09-19,Caso cerrado,604
605,Schneider,2021-02-10,Caso cerrado,605
606,Carrillo,2020-09-10,Caso activo,606
607,Garcia,2022-03-29,Caso activo,607
608,Spears,2022-07-29,Caso Archivado,608
609,Hanson,2021-06-12,Caso Archivado,609
610,Sanchez,2022-10-03,Caso Archivado,610
611,White,2021-01-04,Caso Archivado,611
