nbr_ci_id,var_ci_nombre,var_ci_status,nbr_ba_id
115,Ruben Murphy,solter/a,115
116,Lori Guzman,casado/a,116
117,Melissa Pearson,casado/a,117
118,Gabriel Wang,solter/a,118
119,Debbie Scott,Viudo/a,119
120,Darrell Oliver,solter/a,120
121,Connor Holloway,casado/a,121
122,Jordan Weiss,casado/a,122
123,Mr. Andrew Bailey PhD,solter/a,123
124,Joan Thompson,casado/a,124
125,Mr. Nicholas Smith,casado/a,125
126,Dr. Jason Ortiz,solter/a,126
127,Audrey Garrett,casado/a,127
128,Mary Delgado,solter/a,128
129,Larry Jackson,Viudo/a,129
130,Steven Bailey,solter/a,130
131,Yolanda Morgan,Divorciado/a,131
132,Nicole Dudley,Viudo/a,132
133,Amy Weaver,solter/a,133
134,Taylor Lopez,solter/a,134
135,James Bush,casado/a,135
136,Mitchell Bruce,casado/a,136
137,Kelsey Ortiz,solter/a,137
138,Willie Turner,solter/a,138
139,Isaac Chavez,solter/a,139
140,Whitney White,casado/a,140
141,Maureen Hart,casado/a,141
142,Loretta Nixon,solter/a,142
143,Matthew Hall,casado/a,143
144,Susan Long,Viudo/a,144
145,Christopher Zavala,solter/a,145
146,Kevin Simmons,casado/a,146
147,Jeanne West,Divorciado/a,147
148,Brandon Donovan,Viudo/a,148
149,Daniel Hill DDS,solter/a,149
150,Alicia Mitchell,casado/a,150
151,Andrew Macdonald,solter/a,151
152,Katie Dalton,casado/a,152
153,Tiffany Martinez,Divorciado/a,153
154,Shannon Grant,solter/a,154
155,Sally Chapman,solter/a,155
156,Ian Phillips,Divorciado/a,156
157,Madeline Jones,solter/a,157
158,Danielle Vaughn,Divorciado/a,158
159,Robert Johnson,casado/a,159
160,Jennifer Johnson,Divorciado/a,160
161,Misty Evans,Divorciado/a,161
162,Sarah Jones,casado/a,162
163,Diana Martinez,solter/a,163
164,Theresa Norman,solter/a,164
165,Elizabeth Bullock,solter/a,165
166,Jeffrey Andrews,Divorciado/a,166
167,Alexis Vargas,Divorciado/a,167
168,Stacy Melton,solter/a,168
169,Dawn Wilson,solter/a,169
170,Patricia Barnes,solter/a,170
171,Tina Curtis,Divorciado/a,171
172,Kelsey Cook,solter/a,172
173,Christopher Harris,casado/a,173
174,Brandon Bauer,solter/a,174
175,Ernest Moyer,casado/a,175
176,Christina Williams,solter/a,176
177,April Owens,casado/a,177
178,Thomas Taylor,solter/a,178
179,Jane Martin,casado/a,179
180,Gavin Davis,casado/a,180
181,Michelle Mckenzie,solter/a,181
182,Holly Cox,casado/a,182
183,Denise Gonzalez,Viudo/a,183
184,Scott Key,solter/a,184
185,Lisa Hernandez,solter/a,185
186,Ryan Lucero,solter/a,186
187,Andrew Barnes,Viudo/a,187
188,Melissa Chen,solter/a,188
189,Brianna Stevens,casado/a,189
190,Kevin Wilson,casado/a,190
191,Andrew Meyers,solter/a,191
192,Elizabeth Bennett,Divorciado/a,192
193,Alexander Robinson,solter/a,193
194,Lance Cannon,casado/a,194
195,Joyce Parks,solter/a,195
196,Howard Brown,casado/a,196
197,Brian Dunn,solter/a,197
198,Ashley Armstrong,casado/a,198
199,Natasha Nelson,solter/a,199
200,Mr. Kevin Murphy,solter/a,200
201,Rebecca Smith,Viudo/a,201
202,Erica Green,casado/a,202
203,Melissa Hill,Divorciado/a,203
204,Edward Martinez,Divorciado/a,204
205,Michael White,casado/a,205
206,Sarah Lucas,solter/a,206
207,Heather White,casado/a,207
208,Alex Ramirez,casado/a,208
209,Joshua Christensen,casado/a,209
210,Danielle Daugherty,solter/a,210
211,Zachary Garcia,casado/a,211
212,Tina Davis,casado/a,212
213,Susan Brock,Viudo/a,213
214,Ruth Hansen,solter/a,214
215,Eric Dominguez,casado/a,215
216,Alexis Schneider,Viudo/a,216
217,Jason Henderson,Viudo/a,217
218,Tiffany Perry,casado/a,218
219,Bradley Davis,Divorciado/a,219
220,Paula Shaw,solter/a,220
221,Joseph Bell,casado/a,221
222,James Jacobson,solter/a,222
223,Jessica Smith,casado/a,223
224,Richard Johnson,solter/a,224
225,Adam Johnson,solter/a,225
226,Patrick Simmons MD,casado/a,226
227,Margaret Clarke,solter/a,227
228,Stephen Greer,Divorciado/a,228
229,Charles Ellison,solter/a,229
230,Kimberly Gardner,solter/a,230
231,Jeffery Mckinney,solter/a,231
232,George Hanson,solter/a,232
233,Ashlee Woods,Viudo/a,233
234,Tanya Snyder,Divorciado/a,234
235,Michael Perez,solter/a,235
236,Cassandra Gonzalez,solter/a,236
237,Tyrone Williams,solter/a,237
238,Robert Copeland,casado/a,238
239,Lauren Wilson,casado/a,239
240,Alicia Smith,casado/a,240
241,Maria Mcdonald,solter/a,241
242,Joseph Hebert,casado/a,242
243,Richard Lynch,solter/a,243
244,James Edwards,solter/a,244
245,Kelsey Dunn,solter/a,245
246,Chelsea Howe,solter/a,246
247,Anthony Malone,Divorciado/a,247
248,Christina Payne,casado/a,248
249,Melinda Young,casado/a,249
250,Francis Wagner,solter/a,250
251,Mr. Robert Sanchez Jr.,casado/a,251
252,Jennifer Williams DDS,casado/a,252
253,Todd Porter,casado/a,253
254,Bobby Patterson,solter/a,254
255,Margaret Rice,solter/a,255
256,Danielle Taylor,casado/a,256
257,Victor Henderson,casado/a,257
258,Kayla Walker,casado/a,258
259,Jordan Guzman,casado/a,259
260,Adrian Evans,Viudo/a,260
261,Patricia Davis,solter/a,261
262,Jeffrey Richards,Divorciado/a,262
263,Elizabeth Miller,solter/a,263
264,Henry Gray,casado/a,264
265,Joseph Willis,casado/a,265
266,Drew Johnson,Divorciado/a,266
267,Anna Mann,solter/a,267
268,Derrick Fleming,solter/a,268
269,Logan Eaton,solter/a,269
270,Michelle Fernandez,casado/a,270
271,Victoria Simmons,solter/a,271
272,Mitchell Gregory,solter/a,272
273,Paula Black,casado/a,273
274,Amber Soto,solter/a,274
275,Traci Miller,casado/a,275
276,Mary Robinson,casado/a,276
277,Kara Callahan,Divorciado/a,277
278,Susan Brown,Viudo/a,278
279,Samantha Davis,casado/a,279
280,Joseph Rodriguez,Divorciado/a,280
281,Regina Allen,solter/a,281
282,Leah Terry,Viudo/a,282
283,Kimberly Harrison,solter/a,283
284,Kevin Carroll,solter/a,284
285,Nancy Gillespie,Viudo/a,285
286,Melissa Douglas,Divorciado/a,286
287,Becky Gomez,solter/a,287
288,Daniel Graham,casado/a,288
289,Kenneth Jackson,casado/a,289
290,Carl Dalton,Divorciado/a,290
291,Andrea Cook,solter/a,291
292,Xavier Davis,casado/a,292
293,Daniel Roman,solter/a,293
294,Angela Wood,casado/a,294
295,Sarah Clay,casado/a,295
296,Lisa Williams,solter/a,296
297,John Snyder,solter/a,297
298,Michael Powers,solter/a,298
299,Valerie Clark,casado/a,299
300,Robert Wiggins,Divorciado/a,300
301,Reginald Martinez,Viudo/a,301
302,Teresa Miller,solter/a,302
303,Christopher Cooper,casado/a,303
304,Jenna Molina,Viudo/a,304
305,John Taylor,solter/a,305
306,Jason Chavez,casado/a,306
307,Rebecca Herman,casado/a,307
308,Ashley Bernard,Viudo/a,308
309,Patrick Simpson,Divorciado/a,309
310,Mary Huffman,solter/a,310
311,Matthew Montgomery,casado/a,311
312,Teresa Little,casado/a,312
313,Mrs. Jennifer Bailey,solter/a,313
314,James Wright,solter/a,314
315,Eugene Chang,casado/a,315
316,Shannon Park,casado/a,316
317,Sandra Davenport,solter/a,317
318,Angela Cooke,Divorciado/a,318
319,David Koch,solter/a,319
320,Jamie Small,solter/a,320
321,Connie Dean,solter/a,321
322,Joanne Smith,solter/a,322
323,Dr. Christopher Owens,solter/a,323
324,Amanda Kennedy,Viudo/a,324
325,James Wood,solter/a,325
326,Anthony Camacho,solter/a,326
327,Christine Fowler,Viudo/a,327
328,Levi Vega,solter/a,328
329,Martin Mills,Viudo/a,329
330,Daniel Carson,casado/a,330
331,Brooke Brown MD,solter/a,331
332,Mrs. Jenny Baker,solter/a,332
333,Ronald Myers,Divorciado/a,333
334,Cynthia Durham,casado/a,334
335,Meghan Watson,Viudo/a,335
336,Dawn Jordan,casado/a,336
337,Michael Morales,casado/a,337
338,Natalie Torres,solter/a,338
339,Jessica Sullivan,casado/a,339
340,Dr. Andrew Chapman DDS,Divorciado/a,340
341,Terry Brown,solter/a,341
342,Katherine Miller,casado/a,342
343,Robert Walker,solter/a,343
344,Rebecca Salinas,casado/a,344
345,Linda Thomas,solter/a,345
346,Deanna Taylor,Viudo/a,346
347,Rachel Martin,solter/a,347
348,Bridget Gibbs,casado/a,348
349,Tom Alvarez,solter/a,349
350,Andrew Bowman,solter/a,350
351,Andrew Barrett,Divorciado/a,351
352,Eric Cunningham,solter/a,352
353,Lisa Turner,casado/a,353
354,Logan Smith,solter/a,354
355,Kyle Knapp,solter/a,355
356,Danielle Malone,solter/a,356
357,Brian Alexander,Divorciado/a,357
358,Stephen Gibbs,solter/a,358
359,Mr. Sean Richards,solter/a,359
360,Teresa Oconnor,casado/a,360
361,Chad Gonzalez,solter/a,361
362,William Barker,Viudo/a,362
363,Kelly Romero,casado/a,363
364,Ashley Brown,casado/a,364
365,Rachel Jackson,casado/a,365
366,Douglas Gonzalez,Viudo/a,366
367,Anne Nguyen,Divorciado/a,367
368,Amy Lopez,solter/a,368
369,Joshua Flores,casado/a,369
370,Dalton White,solter/a,370
371,Shelly Williams,solter/a,371
372,Teresa Stone,Divorciado/a,372
373,Ricky Charles,casado/a,373
374,Julia Walker,solter/a,374
375,Mrs. Alexandra Hawkins DDS,solter/a,375
376,Amanda Walker,solter/a,376
377,David Moore,Divorciado/a,377
378,Steve Campbell,casado/a,378
379,Karen Torres,casado/a,379
380,Corey Montes,casado/a,380
381,Kristopher Lopez,Viudo/a,381
382,Jade Reed,solter/a,382
383,Michelle Silva,Divorciado/a,383
384,Michelle May,solter/a,384
385,David Evans,casado/a,385
386,Erik Richardson,Divorciado/a,386
387,Angelica Moore,casado/a,387
388,Alexis Barker,Divorciado/a,388
389,Jennifer Brown,solter/a,389
390,Zachary Davis,solter/a,390
391,Anthony Gonzalez,solter/a,391
392,Ashley Lopez,solter/a,392
393,Cynthia Young,solter/a,393
394,Latoya Caldwell,Divorciado/a,394
395,Michael Cruz,casado/a,395
396,Brendan Ryan,solter/a,396
397,Tyler Harris,Divorciado/a,397
398,Tammy Miller,solter/a,398
399,Michelle Wells,solter/a,399
400,Jonathon Walters,casado/a,400
401,Thomas Smith,casado/a,401
402,Andrew Camacho,solter/a,402
403,Ryan Hunt,casado/a,403
404,Margaret Hansen,Divorciado/a,404
405,Kayla Atkins,solter/a,405
406,Erin Jarvis,solter/a,406
407,Patrick Martinez,Viudo/a,407
408,Scott Holland,casado/a,408
409,Cynthia Alexander,casado/a,409
410,Michele Cross MD,casado/a,410
411,William Franklin,solter/a,411
412,Tina Peters,Divorciado/a,412
413,David Daniels,solter/a,413
414,Edward Harrington,solter/a,414
415,Jeffery Graham,solter/a,415
416,Amy Gonzalez,Viudo/a,416
417,Jamie Morris,casado/a,417
418,Connie Mitchell,casado/a,418
419,Tiffany Calhoun,Viudo/a,419
420,Carly Collins,solter/a,420
421,Kaitlyn Maldonado,solter/a,421
422,Kristen Burton,casado/a,422
423,Kenneth Freeman,casado/a,423
424,Dawn Miller,solter/a,424
425,Darren Smith PhD,Divorciado/a,425
426,Michael Dixon DVM,Divorciado/a,426
427,Shirley Collins,casado/a,427
428,Jennifer Hernandez,casado/a,428
429,Johnny Mclaughlin,casado/a,429
430,Eric Tucker,Divorciado/a,430
431,William Campbell,casado/a,431
432,Shannon Becker,solter/a,432
433,Jacob Stanton,Divorciado/a,433
434,Angela Moore,casado/a,434
435,Jennifer Ramirez,solter/a,435
436,Ivan Bennett,solter/a,436
437,Vanessa Wright,casado/a,437
438,Christopher Allen,casado/a,438
439,David Warren,casado/a,439
440,Mr. Jeff Wright DDS,solter/a,440
441,Amy Johnson,solter/a,441
442,Mark Mcguire,solter/a,442
443,Alan Carr,Divorciado/a,443
444,Antonio Knox,solter/a,444
445,Mrs. Sara Davis,solter/a,445
446,Matthew Melendez,solter/a,446
447,Elizabeth Hernandez,Divorciado/a,447
448,Lisa Nguyen,casado/a,448
449,Elizabeth Johnson,solter/a,449
450,Dale Rodriguez,Divorciado/a,450
451,Carolyn Durham,casado/a,451
452,Chelsey Fitzgerald,solter/a,452
453,Danny Greer,solter/a,453
454,Kimberly Houston,solter/a,454
455,Kevin Dennis,casado/a,455
456,Lindsay Yu,solter/a,456
457,Monica Ford,solter/a,457
458,Austin Elliott,solter/a,458
459,Veronica Brown,solter/a,459
460,John Allen,casado/a,460
461,Tiffany Short,Divorciado/a,461
462,Scott Ellis,casado/a,462
463,Jamie Blanchard,Viudo/a,463
464,John Williams,solter/a,464
465,Michael Rivera,solter/a,465
466,Nicholas Hudson,solter/a,466
467,Miranda Rivera,solter/a,467
468,Michael Campbell,Viudo/a,468
469,Matthew Butler,solter/a,469
470,Tammy Hall,solter/a,470
471,Patricia Taylor,Divorciado/a,471
472,Nathaniel Fowler,solter/a,472
473,Andrew Randolph,casado/a,473
474,Lisa Jackson,solter/a,474
475,Joseph Daugherty Jr.,casado/a,475
476,Richard Moore,Divorciado/a,476
477,Darrell Logan,casado/a,477
478,Anthony Harding,Divorciado/a,478
479,Michael Campbell,solter/a,479
480,Jason Taylor,solter/a,480
481,Robert Evans,casado/a,481
482,Michael Stevens,casado/a,482
483,Gabriella Bullock,Viudo/a,483
484,Juan Cook,casado/a,484
485,Justin Smith,casado/a,485
486,Amanda Cervantes,solter/a,486
487,Rodney Guzman,solter/a,487
488,Donna Brown,casado/a,488
489,Reginald Hughes,Viudo/a,489
490,Kelsey Padilla,Divorciado/a,490
491,Nathan Taylor,casado/a,491
492,Kenneth Rice,Divorciado/a,492
493,Elizabeth Gillespie,casado/a,493
494,Leah Howell,casado/a,494
495,James Robinson,casado/a,495
496,Mark Murray,Viudo/a,496
497,Lisa Perez,casado/a,497
498,Shelly Charles,casado/a,498
499,Andrew Dunn,solter/a,499
500,Mary Moore,casado/a,500
501,Stephanie Stanley,solter/a,501
502,Jack Long,casado/a,502
503,Kristen Young,solter/a,503
504,Kimberly Gonzalez,casado/a,504
505,Alicia Fleming,casado/a,505
506,Kathryn Briggs,solter/a,506
507,Justin White,solter/a,507
508,Denise Smith,casado/a,508
509,Richard Mason,casado/a,509
510,Dr. Lisa Hale,Divorciado/a,510
511,Bobby Hood,Divorciado/a,511
512,Allison Kaufman,casado/a,512
513,Kevin Johnson,solter/a,513
514,Sharon Oneal,solter/a,514
515,Ronald Rogers,solter/a,515
516,Elizabeth Hernandez,solter/a,516
517,Marc Christian,solter/a,517
518,Christopher Moore,casado/a,518
519,Amy Powell,solter/a,519
520,Destiny Kelley,casado/a,520
521,Rebecca Sims,solter/a,521
522,Pamela Harrison,casado/a,522
523,Dana Bradley,solter/a,523
524,Louis Simpson,Divorciado/a,524
525,Jennifer Moore,solter/a,525
526,Jacob Johnson,casado/a,526
527,Gary Riley,casado/a,527
528,Mary Daniels,Viudo/a,528
529,Renee Williams,casado/a,529
530,Tonya Hayes,solter/a,530
531,James Hahn,solter/a,531
532,Lisa Williams,solter/a,532
533,Donna Patel,casado/a,533
534,Joshua Jones,solter/a,534
535,James Moreno,solter/a,535
536,Brittney Smith,solter/a,536
537,Joseph Cruz,casado/a,537
538,Denise Guzman,casado/a,538
539,Kara Huynh,casado/a,539
540,Joseph Carter,solter/a,540
541,Greg Hicks,casado/a,541
542,Jamie Hutchinson,casado/a,542
543,Chelsea Ramos,casado/a,543
544,Catherine Acosta,solter/a,544
545,Rodney Scott,casado/a,545
546,Philip Cook,casado/a,546
547,Brittany Rodriguez,solter/a,547
548,Douglas Mccormick,casado/a,548
549,Donna Moore,casado/a,549
550,Kelly Mayo,solter/a,550
551,Leslie Morgan,casado/a,551
552,Linda Mclean,casado/a,552
553,David Hicks,casado/a,553
554,Kayla Beck,casado/a,554
555,Yolanda Garner,solter/a,555
556,Mr. John Wolf,casado/a,556
557,Stephanie Cox,Viudo/a,557
558,Stacy Myers,casado/a,558
559,Michelle Hampton,Viudo/a,559
560,David Simpson,solter/a,560
561,Lisa Wilson,casado/a,561
562,John Burns,solter/a,562
563,Gregory Mclaughlin,Divorciado/a,563
564,William Moore,casado/a,564
565,Daniel George,casado/a,565
566,Kathryn Rowe,Divorciado/a,566
567,Robert Cook,solter/a,567
568,Alvin Ramirez,casado/a,568
569,Jim Ward,casado/a,569
570,Brandon Armstrong,casado/a,570
571,Dr. Shelby Hopkins,casado/a,571
572,Cameron Adkins,casado/a,572
573,Douglas Chavez,casado/a,573
574,Anita Hancock,Viudo/a,574
575,Susan Miller,casado/a,575
576,Ryan Smith,casado/a,576
577,Elizabeth Davis,solter/a,577
578,Laura Perez,Divorciado/a,578
579,Hannah Keller,Divorciado/a,579
580,Brandon Buchanan,solter/a,580
581,Jaclyn Murphy,Divorciado/a,581
582,Taylor Clark,Viudo/a,582
583,Nichole Hinton,casado/a,583
584,Raven Johnson,casado/a,584
585,Leslie Vargas,Divorciado/a,585
586,Jodi Castillo,solter/a,586
587,Carlos Singh,solter/a,587
588,Rodney Miller,casado/a,588
589,Michelle Burgess,solter/a,589
590,Sarah Stewart,Divorciado/a,590
591,Gwendolyn Smith,solter/a,591
592,Cory Williams,casado/a,592
593,Marc Lambert,Divorciado/a,593
594,Christopher Miles,solter/a,594
595,Ryan Smith,casado/a,595
596,Lauren Wilcox,solter/a,596
597,Todd Carter,solter/a,597
598,Wendy Harmon,casado/a,598
599,Melissa Fox,casado/a,599
600,Joseph Edwards,Viudo/a,600
601,Cynthia Sanders,solter/a,601
602,Sean Murphy,solter/a,602
603,John Thomas,casado/a,603
604,Mrs. Gloria Black,solter/a,604
605,Michelle Johnson,casado/a,605
606,Nicole Cortez,Viudo/a,606
607,Amy Parrish,casado/a,607
608,Tanya Howell,solter/a,608
609,Connie Parker,Divorciado/a,609
610,Antonio Hoffman,casado/a,610
611,Deanna Olson,Divorciado/a,611
612,Charles Weaver,solter/a,612
613,Lindsey Taylor,solter/a,613
614,Brittany Moon,casado/a,614
615,Mrs. Bethany Velazquez,Divorciado/a,615
616,Nicole Watson,casado/a,616
617,Mary Schmidt,Divorciado/a,617
618,Christopher Washington,casado/a,618
619,Mark Jackson,solter/a,619
620,Karen Harding,casado/a,620
621,Jonathan Oconnell,solter/a,621
622,Stacy Mcneil,solter/a,622
623,Deborah King,casado/a,623
624,Stacey Lowe,casado/a,624
625,John Duke,casado/a,625
626,Jared Nguyen,solter/a,626
627,Stephanie Rodriguez,solter/a,627
628,Jordan Schneider,Divorciado/a,628
629,Bobby Reyes,solter/a,629
630,Alex Jones,casado/a,630
631,Kathleen Gonzales,solter/a,631
632,Brian Chang,solter/a,632
633,Veronica Byrd MD,solter/a,633
634,Samantha Waller,casado/a,634
635,Sarah Shepard,Viudo/a,635
636,Richard Brady,casado/a,636
637,Karen Morales,Divorciado/a,637
638,Holly Reeves,solter/a,638
639,Anna Martinez,casado/a,639
640,Vincent Ruiz,solter/a,640
641,Debbie Anderson,Divorciado/a,641
642,Michelle Mclaughlin,casado/a,642
643,Christopher Scott,solter/a,643
644,Tracey Johnson,solter/a,644
645,Brenda Moreno,solter/a,645
646,Darrell Richardson,casado/a,646
647,Darren Wilcox,solter/a,647
648,Heather Hall,solter/a,648
649,Christina Thompson,solter/a,649
650,Krystal Hunter,casado/a,650
651,Benjamin Taylor,casado/a,651
652,Eric Green,Divorciado/a,652
653,Anthony Blair,Divorciado/a,653
654,Robert Mueller,casado/a,654
655,Gregory Chapman,Viudo/a,655
656,Corey Diaz,solter/a,656
657,Dr. Anthony Brown Jr.,solter/a,657
658,Renee Acosta,solter/a,658
659,James Leon,solter/a,659
660,Emily Taylor,casado/a,660
661,Daniel Brown,solter/a,661
662,Jose Washington,casado/a,662
663,Bryan Golden,Viudo/a,663
664,Christopher Benton,casado/a,664
665,Cody Cruz,casado/a,665
666,Elizabeth Dickerson,solter/a,666
667,Jason Stein,casado/a,667
668,Jared Farmer,solter/a,668
669,Christopher Romero,casado/a,669
670,Douglas Reynolds,solter/a,670
671,John Holmes,solter/a,671
672,Amy Sanders,Viudo/a,672
673,William Johnson,casado/a,673
674,Angela Dickson,Viudo/a,674
675,Kelly Ramos,solter/a,675
676,Adam Phillips,casado/a,676
677,Brianna Hunt,solter/a,677
678,Anthony Davidson,casado/a,678
679,Gordon Murphy,Divorciado/a,679
680,Nicole Ford,casado/a,680
681,Christopher Krueger,solter/a,681
682,Sarah Hill,solter/a,682
683,Garrett Buchanan,solter/a,683
684,Peter Hines,Viudo/a,684
685,Emily Elliott,solter/a,685
686,Stacy Oliver,solter/a,686
687,Sandra Davis,Divorciado/a,687
688,Michelle Ramirez,Divorciado/a,688
689,Jamie Hughes,casado/a,689
690,Tyler Douglas,casado/a,690
691,Cynthia Bennett,solter/a,691
692,Brandon Dennis,Divorciado/a,692
693,Rachel Krause,Viudo/a,693
694,Erica Ortiz,Divorciado/a,694
695,Sarah Weber,casado/a,695
696,Harold Wilson,solter/a,696
697,Mark Chavez PhD,Viudo/a,697
698,Lori Ward,casado/a,698
699,Jeffrey Mcdonald,solter/a,699
700,Steve Chavez,solter/a,700
701,Gregory Macias,casado/a,701
702,Charles Fitzpatrick,casado/a,702
703,Robert Thompson,solter/a,703
704,Tiffany Cook,Divorciado/a,704
705,Jeremy Barr,solter/a,705
706,James Thompson,solter/a,706
707,Brittany Paul,Divorciado/a,707
708,Mark Christian,casado/a,708
709,Tracey Ball,casado/a,709
710,Nancy Ryan,solter/a,710
711,Leonard Ochoa MD,casado/a,711
712,Christopher Garcia,Viudo/a,712
713,Terrence Mcpherson,solter/a,713
714,Laurie Schwartz,Viudo/a,714
715,Alexandria Wright,solter/a,715
716,Christine Christensen,Viudo/a,716
717,Julie Lewis,solter/a,717
718,Stephen Ashley,solter/a,718
719,Daniel Thompson,Divorciado/a,719
720,Krystal Flores,solter/a,720
721,John Todd,solter/a,721
722,Madison Hill,solter/a,722
723,Guy Rollins,casado/a,723
724,Nathaniel Coleman,Divorciado/a,724
725,Joanna Morris,casado/a,725
726,Wayne Martinez,solter/a,726
727,Shannon Robinson,casado/a,727
728,Amber Flowers,casado/a,728
729,Joseph Roberts,solter/a,729
730,Allison Hart,casado/a,730
731,Rebecca Johnson,casado/a,731
732,Tara Arnold,solter/a,732
733,Monica Williams,casado/a,733
734,Dawn Brewer,Viudo/a,734
735,Darryl Brown,solter/a,735
736,Richard Williams,casado/a,736
737,Kendra Chavez,solter/a,737
738,Daniel Wells,solter/a,738
739,Tammy Lynch,Viudo/a,739
740,Mathew Shepard,casado/a,740
741,Brenda Peterson,casado/a,741
742,Theresa Roberts,solter/a,742
743,Keith Gonzalez,solter/a,743
744,Mr. Patrick Wall,solter/a,744
745,Hayley Gray,solter/a,745
746,Ashley Phillips,solter/a,746
747,Andrew Calhoun,solter/a,747
748,Casey Castillo,solter/a,748
749,Erin Brandt,casado/a,749
750,Lori Wilson,solter/a,750
751,Daniel Singleton,Viudo/a,751
752,Joshua Moore,casado/a,752
753,Elizabeth Oconnor,Divorciado/a,753
754,Joseph Johnson,casado/a,754
755,Marco Miller,solter/a,755
756,Erin Rosales,solter/a,756
757,Christopher Mcdaniel,Divorciado/a,757
758,Rebecca Carr,Divorciado/a,758
759,Raymond Copeland,casado/a,759
760,Michael Beard MD,casado/a,760
761,John Johnson,solter/a,761
762,Andrew Smith,solter/a,762
763,Kelly Arnold,casado/a,763
764,Alicia Crawford,solter/a,764
765,Matthew Barron,casado/a,765
766,Jessica Smith,casado/a,766
767,Pamela Stout,Divorciado/a,767
768,Joseph Weber,solter/a,768
